Código de Dirección;Nombre de Dirección;Cliente;Dirección;Comuna;Lat;Lng
2859;57 - HI VITACURA;WALMART;Buenaventura 1770;Vitacura;-33.3868748;-70.567914
2886;97 - HI PTE NUEVO;WALMART;Av. Las Condes 12916;Lo Barnechea;-33.3696801;-70.5121767
2780;J512 - J LA REINA;CENCOSUD;Av. Francisco Bilbao 8750;Las Condes;-33.4279259;-70.5408096
2765;J511 - J COSTANERA;CENCOSUD;Avda. Andrés Bello 2465;Providencia;-33.4181063;-70.6082252
2867;88 - HI LOS DOMINICOS;WALMART;Camino El Alba 11865;Las Condes;-33.4019711;-70.5158954
2119;DARK COSTANERA;CENCOSUD;Avenida Andrés Bello 2465;Providencia;-33.4181063;-70.6082252
2903;137 - HI SAN PABLO;WALMART;Neptuno 720;Lo prado;-33.445058;-70.7245128
2130;DARK STORE LA DEHESA;CENCOSUD;La Dehesa 1445;Lo Barnechea;-33.3570924;-70.5152012
2934;511 - BA VIVACETA;WALMART;Av. Fermín Vivaceta 827;Independencia;-33.422676;-70.6619243
2885;15 - EX ESTOR;WALMART;Av. Las Condes 10295;Las Condes;-33.3850168;-70.5334671
2890;86 - HI RECOLETA;WALMART;Recoleta 3501;Recoleta;-33.3934428;-70.641266
2879;41 - HI HUECHURABA;WALMART;Av. Américo Vespucio 1737;Huechuraba;-33.363549718;-70.680414438
2882;74 - EX TOMAS MORO;WALMART;Avenida Tomás Moro 1590;Las Condes;-33.4248574;-70.5534419
2902;139 - EX PROJA;WALMART;Av. Padre Sergio Correa;Colina;-33.27703102;-70.627635718
2798;N771 - SISA SANTIAGO HUÉRFANOS;CENCOSUD;Huerfanos 1437;Santiago;-33.4401696;-70.6572842
2800;N763 - SISA SANTIAGO ISMAEL VERGARA;CENCOSUD;Av. Ismael Valdés Vergara 838;Santiago;-33.4338423;-70.6495782
2895;72 - HI ALAMEDA;WALMART;Av. Padre Alberto Hurtado 060;Estancion central;-33.452050314;-70.692558289
2904;129 - T QUILICURA;TOTTUS;Av. Bernardo O'Higgins 800;Quilicura;-33.3571397;-70.7297222
2811;N612 - SISA SANTIAGO GRAJALES;CENCOSUD;Almirante Latorre 310;Santiago;-33.4517232;-70.6641075
3118;276 - EXPRESS LAMPA VALLE GRANDE II;WALMART;General San Martín Norte 47;Lampa;-33.32290843;-70.745236874
2751;J762 - J LOS TRAPENSES;CENCOSUD;Los Trapenses 3515;Lo Barnechea;-33.3425528;-70.5456564
2776;SISA LAMPA VALLE GRANDE;CENCOSUD;Gral. San Martín Nte. 47;Lampa;-33.3230637;-70.7461767
2782;J502 - J KENNEDY;CENCOSUD;Avda Keneddy 9001;Las Condes;-33.391703;-70.5459846
2900;140 - EX REJAS;WALMART;Avenida Libertador Bernardo O'Higgins 5199;Estación Central;-33.4560471;-70.705288053
2781;J514 - J LA DEHESA;CENCOSUD;La Dehesa 1445;Lo Barnechea;-33.3570924;-70.5152012
2893;J958 - J PIE ANDINO;CENCOSUD;Pase Pie Andino 4770;Lo Barnechea;-33.3258815;-70.51817
2912;621 - EX MERCED;WALMART;Merced 560;Santiago;-33.4379427;-70.6448521
2951;677 - EX PROVIDENCIA STA ISABEL;WALMART;Santa Isabel 0168;Providencia;-33.4467984;-70.6293306
2955;689 - EX SAN MARTIN;WALMART;San Martín 35;Santiago;-33.4440716;-70.6569066
2953;J988 - J PUERTAS DE CHICUREO;CENCOSUD;Avendida Chicureo 130;Colina;-33.2859788;-70.7000345
2963;728 - EX PORTUGAL;WALMART;Avda Portugal 622;Santiago;-33.4499918;-70.6346674
2915;685 - EX SANTO DOMINGO;WALMART;Santo Domingo 1031;Santiago;-33.4361546;-70.6519745
2892;49 - HI QUILICURA;WALMART;Av. Ohiggins 314;Quilicura;-33.3561727;-70.7276142
2849;671 - HI QUILICURA (LO MARCOLET;WALMART;Av. Marcoleta 361;Quilicura;-33.358296099;-70.747459532
2917;674 - EX PEDRO FONTOVA;WALMART;Av. Pedro Fontova 7455;Huechuraba;-33.3519458;-70.6701093
2923;149 - EX COLINA;WALMART;Caletera Oriente General San Martín 2000;Colina;-33.218401987;-70.685995816
2715;N689 - SISA SANTIAGO SAN PABLO;CENCOSUD;San Pablo 4870;Quinta normal;-33.4401889;-70.701847
2807;131 - T PIEDRA ROJA;TOTTUS;Av. Padre Correa 14.500;Colina;-33.279031218;-70.627220867
2924;699 - EX SANTA ROSA;WALMART;Avenida Santa Rosa 115;Santiago;-33.4456641;-70.6458913
2769;3170 - M10 21 DE MAYO;SMU;21 de Mayo 819;Santiago;-33.4340457;-70.6500215
2779;N607 - SISA SANTIAGO COMPANÍA;CENCOSUD;Compañía de Jesús 2305;Santiago;-33.440040942;-70.668729544
2945;3074 - ALVI RECOLETA;ALVI;Av.Recoleta 1750;Recoleta;-33.4123529;-70.6442664
2853;676 - EX SAN PABLO;WALMART;San Pablo 9091;Pudauhel;-33.43509437;-70.670569539
2854;748 - HI RENCA ( MIRAFLORES);WALMART;Av Miraflores 8710;Renca;-33.3986552;-70.7587273
2964;128 - T CERRO BLANCO;TOTTUS;Avda Recoleta 806;Recoleta;-33.422428;-70.6455195
2884;16 - EX DEHESA;WALMART;El Rodeo 12850;Lo Barnechea;-33.3522735;-70.520731
2967;123 - T MP LOS DOMINICOS;TOTTUS;Av. Padre Hurtado Sur 875;Las Condes;-33.4155275;-70.5402562
2914;640 - EX 10 DE JULIO;WALMART;Av. 10 de Julio Huamachuco 1625;Santiago;-33.4541475;-70.6574624
2847;116 - T HUECHURABA;TOTTUS;Av. Sta. Marta de Huechuraba 7300;Huechuraba;-33.35371529;-70.677832961
2891;77 - HI INDEPENDENCIA;WALMART;Independencia 4142;Independencia;-33.390315;-70.675431
2830;104 - T NATANIEL;TOTTUS;Nataniel Cox 620;Santiago;-33.4538127;-70.6522577
2913;624 - EX PLAZA;WALMART;Av. Plaza 590;Las Condes;-33.390551;-70.498687
2881;60 - EX LATAD;WALMART;Avenida Américo Vespucio Sur 1790;Las Condes;-33.428647735;-70.574224591
2766;N593 - SISA NUNOA VICUNA MACKENNA;CENCOSUD;Av. Vicuña Mackenna 1048;Ñuñoa;-33.4550212;-70.6297648
2870;37 - HI MATUCANA;WALMART;Av. Matucana 1202;Quinta normal;-33.4324049;-70.6809754
2739;458 - EK MONJITAS;WALMART;Monjitas 734;Santiago;-33.4370899;-70.6476209
2821;EK san diego;WALMART;San Diego 219;Santiago;-33.4477732;-70.6512075
2837;111 - T ALAMEDA;TOTTUS;Av. Libertador Bernardo O'Higgins 3470;Santiago;-33.4526736;-70.6822765
2810;N608 - SISA SANTIAGO SAN DIEGO;CENCOSUD;San Diego 235;Santiago;-33.4483193;-70.6513748
2956;125 - T CHAMISERO;TOTTUS;Avenida el Valle Central 12400;Colina;-33.3036621;-70.6663798
2822;EKONO PORTUGAL;WALMART;Portugal 225, Santiago, Chile;Santiago;-33.4455579;-70.6368113
2816;J624 - J EL ALBA;CENCOSUD;Camino El Alba 11969;Las Condes;-33.4018701;-70.5143463
2948;133 - T FACTORIA;TOTTUS;Av. Bilbao 451;Providencia;-33.4419054;-70.6256409
2728;205 - EK BANDE;WALMART;Bandera 814;Santiago;-33.4340725;-70.6532831
2899;1 - EX PLYON;WALMART;Av. Providencia 2249;Providencia;-33.4221531;-70.6085062
2754;331 - UNI DIEGO PORTALES;SMU;Av. Portugal 56;Santiago;-33.4413613;-70.6389285
3100;EX ISABEL LA CATOLICA;WALMART;Isabel La Católica 4394;Las Condes;-33.4258978;-70.5774995
2880;8 - EX COLON;WALMART;Avda. Pdte. Sebastían Piñera E. 1016;Las Condes;-33.4187221;-70.5521347
2771;326 - UNI ESCUELA MILITAR;SMU;Apoquindo 4335;Las Condes;-33.415318;-70.5851873
2666;3090 - ALVI QUILICURA;SMU;Av. Gral. San Martín 30;Quilicura;-33.3641939;-70.7371581
2937;202 - EK CURICO;WALMART;Curico 517;Santiago;-33.4460227;-70.6427165
2702;940 - EX QUILICURA LO CAMPINO 2;WALMART;Av. Americo Vespucio 1641;Quilicura;-33.374826527;-70.719434023
2813;EK ALULA;WALMART;Avenida Libertador Bernardo O'Higgins 2843;Santiago;-33.4490082;-70.673759
2846;N759 - SISA QUINTA NORMAL S. GUTIER;CENCOSUD;Av Salvador Gutierrez 5496;Quinta Normal;-33.4239342;-70.7089642
2745;934 - EX LO BARNECHEA (PIE ANDINO);WALMART;Av. Paseo Pie Andino 5220;Lo Barnechea;-33.324154541;-70.537928939
2936;271 - EK SANTA ISABEL I;WALMART;Lira 464;Santiago;-33.4486845;-70.6389916
2677;SISA INDEPENDENCIA VIVACETA;CENCOSUD;Avenida Fermín Vivaceta 957;Independencia;-33.419821635;-70.663171113
2758;327 - UNI MANQUEHUE;SMU;Av. Manquehue 1700;Las Condes;-33.4266672;-70.5636081
2774;N776 - SISA LAS CONDES CANTAGALLO;CENCOSUD;Av. Las Condes 12207;Las Condes;-33.373629;-70.5188655
2817;475 - UNI ESTADO;SMU;Estado 85;Santiago;-33.4419894;-70.6491018
2795;N692 - SISA HUECHURABA PEDRO FONTOV;CENCOSUD;Pedro Fontova 7789;Huechuraba;-33.3473927;-70.6700098
2938;204 - EK PROV & ANTONIO;WALMART;Providencia 1630;Providencia;-33.4266276;-70.6163582
2713;253 - EX COLINA (EL ALGARR);WALMART;Carretera Gral San Martin Km 10;Colina;-33.2113145;-70.6817117
2752;962 - UNI MORANDE;SMU;Compañía de Jesús 1214;Santiago;-33.4390097;-70.6541591
2818;469 - UNI LOS MILITARES;SMU;Av. Manquehue Norte 457;Las Condes;-33.4039157;-70.5685266
2744;114 - T CATEDRAL;TOTTUS;Catedral 1850;Santiago;-33.4388976;-70.6632246
2755;362 - UNI LAS TRANQUERAS;SMU;Vitacura 8400;Vitacura;-33.3848955;-70.5542733
2792;N682 - SISA SANTIAGO PORTUGAL;CENCOSUD;Portugal 112;Santiago;-33.4431255;-70.6375818
2719;N636 - SISA QUILICURA LO CAMPINO;CENCOSUD;Avda Las Torres 450;Quilicura;-33.3828779;-70.729599
2120;126 - T VIVACETA;TOTTUS;Fermin Vivaceta 1030;Independencia;-33.4186984;-70.6637216
2927;917 - UNI LOS TRAPENSES;SMU;Av. Jose Alcalde Delano 10497;Lo Barnechea;-33.3575379;-70.5395314
2814;N600 - SISA SANTIAGO BANDERA;CENCOSUD;Bandera 201;Santiago;-33.4408033;-70.6520075
2753;335 - UNI SANTA MARIA;SMU;Av Santa Maria 6940;Vitacura;-33.376604;-70.5688944
2802;N767 - SISA SANTIAGO ALAMEDA;CENCOSUD;Av. San Martin 29;Santiago;-33.444727614;-70.657292604
2793;N669 - SISA PROVIDENCIA AV. PROVIDE;CENCOSUD;Providencia 2178;Providencia;-33.4219353;-70.6106651
2920;130 - T VITACURA ALDERETE;TOTTUS;Avda Vitacura 6980;Vitacura;-33.3867539;-70.5655599
2759;3098 - ALVI LAS CONDES;SMU;Av. Las Condes 11097;Las Condes;-33.3792501;-70.5282649
2852;118 - T VICUNA MACKENNA;TOTTUS;Av Vicuña Mackenna 665;Santiago;-33.4505688;-70.6321822
2933;N706 - SISA RENCA AV. DOMINGO STA.;CENCOSUD;Av. Domingo Santa Maria 3962;Renca;-33.4067671;-70.7013277
2708;J989 - J INDEPENDENCIA;CENCOSUD;Avenida Independencia 565;Independencia;-33.424940704;-70.652593375
2935;977 - CM PUDAHUEL SAN PABLO;WALMART;Av. Parque Isidora Sur 1055;Pudauhel;-33.4411711;-70.7752171
2835;110 - T COLINA;TOTTUS;La Inmaculada Concepción 47;Colina;-33.2035748;-70.6764216
2952;J992 - J COLINA CHAMISERO;CENCOSUD;Av. Santa María 14.601;Colina;-33.3215172;-70.6460402
2918;120 - T VITACURA;TOTTUS;Avda Vitacura 9019;Vitacura;-33.3837344;-70.549496
2876;65 - EX SEMINARIO;WALMART;Rancagua 0180;Providencia;-33.4406879;-70.6307415
2764;J810 - J LO CASTILLO;CENCOSUD;Eduardo Maquina 3412;Vitacura;-33.3998108;-70.5924035
2720;N635 - SISA LAS CONDES PLAZA ARTESA;CENCOSUD;Manquehue Sur 329;Las Condes;-33.4107099;-70.5671169
2878;4 - EX VITACURA;WALMART;Vitacura 4100;Vitacura;-33.3993657;-70.5907273
2939;357 - UNI GRECIA;SMU;Avenida Grecia 320;Ñuñoa;-33.4555629;-70.6258591
2823;ALVI INDEPENDENCIA;SMU;Avenida Independencia 4154;Conchalí;-33.3902431;-70.6765589
2121;153 - T KENNEDY II;TOTTUS;Avenida Kennedy 5601;Las Condes;-33.4014353;-70.5760529
2778;N606 - SISA ESTACIÓN CENTRAL ALAMED;CENCOSUD;Avenida Libertador Bernardo O'Higgins 3390;Estación Central;-33.4517285;-70.6798013
2796;N777 - SISA LAS CONDES APOQUINDO;CENCOSUD;Avenida Apoquindo 7240;Las Condes;-33.4081234;-70.553823
2875;52 - EX GRECIA;WALMART;Av. Grecia 245;Ñuñoa;-33.4557935;-70.6269773
2883;51 - EX TOBAL;WALMART;Tobalaba 1177;Providencia;-33.422603581;-70.596706867
2901;18 - EX MMONT;WALMART;Manuel Montt 80;Providencia;-33.4293399;-70.6198316
